<new sheet>
sheet_name: HS codes Export Classification
No.,Major Category,Minor Category,HSCO
1,Agricultural exports,Coconut Kernel products,080111
2,Agricultural exports,Coconut Kernel products,080112
3,Agricultural exports,Coconut Kernel products,120300
4,Agricultural exports,Coconut Kernel products,08011101
5,Agricultural exports,Coconut Kernel products,08011109
6,Agricultural exports,Coconut Kernel products,08011110
7,Agricultural exports,Coconut Kernel products,08011190
8,Agricultural exports,Coconut Kernel products,08011901
9,Agricultural exports,Coconut Kernel products,08011902
10,Agricultural exports,Coconut Kernel products,08011903
11,Agricultural exports,Coconut Kernel products,08011909
12,Agricultural exports,Coconut Kernel products,08011910
13,Agricultural exports,Coconut Kernel products,08011920
14,Agricultural exports,Coconut Kernel products,08011930
15,Agricultural exports,Coconut Kernel products,08011931
16,Agricultural exports,Coconut Kernel products,08011939
17,Agricultural exports,Coconut Kernel products,08011960
18,Agricultural exports,Coconut Kernel products,08011990
19,Agricultural exports,Coconut Kernel products,15131101
20,Agricultural exports,Coconut Kernel products,15131109
21,Agricultural exports,Coconut Kernel products,15131111
22,Agricultural exports,Coconut Kernel products,15131119
23,Agricultural exports,Coconut Kernel products,15131121
24,Agricultural exports,Coconut Kernel products,15131129
25,Agricultural exports,Coconut Kernel products,15131190
26,Agricultural exports,Coconut Kernel products,15131901
27,Agricultural exports,Coconut Kernel products,15131909
28,Agricultural exports,Coconut Kernel products,15131910
29,Agricultural exports,Coconut Kernel products,15131990
30,Agricultural exports,Coconut non-Kernel products,140410
31,Agricultural exports,Coconut non-Kernel products,140420
32,Agricultural exports,Coconut non-Kernel products,530512
33,Agricultural exports,Coconut non-Kernel products,14049003
34,Agricultural exports,Coconut non-Kernel products,14049004
35,Agricultural exports,Coconut non-Kernel products,14049005
36,Agricultural exports,Coconut non-Kernel products,14049006
37,Agricultural exports,Coconut non-Kernel products,14049030
38,Agricultural exports,Coconut non-Kernel products,14049040
39,Agricultural exports,Coconut non-Kernel products,14049050
40,Agricultural exports,Coconut non-Kernel products,14049060
41,Agricultural exports,Coconut non-Kernel products,14049093
42,Agricultural exports,Coconut non-Kernel products,53050004
43,Agricultural exports,Coconut non-Kernel products,53050005
44,Agricultural exports,Coconut non-Kernel products,53050011
45,Agricultural exports,Coconut non-Kernel products,53050012
46,Agricultural exports,Coconut non-Kernel products,53050013
47,Agricultural exports,Coconut non-Kernel products,53050014
48,Agricultural exports,Coconut non-Kernel products,53050015
49,Agricultural exports,Coconut non-Kernel products,53050016
50,Agricultural exports,Coconut non-Kernel products,53050017
51,Agricultural exports,Coconut non-Kernel products,53050019
52,Agricultural exports,Coconut non-Kernel products,53050020
53,Agricultural exports,Coconut non-Kernel products,53050021
54,Agricultural exports,Coconut non-Kernel products,53050022
55,Agricultural exports,Coconut non-Kernel products,53050023
56,Agricultural exports,Coconut non-Kernel products,53050029
57,Agricultural exports,Coconut non-Kernel products,53050030
58,Agricultural exports,Coconut non-Kernel products,53050041
59,Agricultural exports,Coconut non-Kernel products,53050042
60,Agricultural exports,Coconut non-Kernel products,53050050
61,Agricultural exports,Coconut non-Kernel products,53050061
62,Agricultural exports,Coconut non-Kernel products,53050069
63,Agricultural exports,Coconut non-Kernel products,53050071
64,Agricultural exports,Coconut non-Kernel products,53050072
65,Agricultural exports,Coconut non-Kernel products,53050079
66,Agricultural exports,Coconut non-Kernel products,53051101
67,Agricultural exports,Coconut non-Kernel products,53051102
68,Agricultural exports,Coconut non-Kernel products,53051103
69,Agricultural exports,Coconut non-Kernel products,53051104
70,Agricultural exports,Coconut non-Kernel products,53051105
71,Agricultural exports,Coconut non-Kernel products,53051106
72,Agricultural exports,Coconut non-Kernel products,53051107
73,Agricultural exports,Coconut non-Kernel products,53051108
74,Agricultural exports,Coconut non-Kernel products,53051109
75,Agricultural exports,Coconut non-Kernel products,53051110
76,Agricultural exports,Coconut non-Kernel products,53051111
77,Agricultural exports,Coconut non-Kernel products,53051112
78,Agricultural exports,Coconut non-Kernel products,53051119
79,Agricultural exports,Coconut non-Kernel products,53051120
80,Agricultural exports,Coconut non-Kernel products,53051130
81,Agricultural exports,Coconut non-Kernel products,53051140
82,Agricultural exports,Coconut non-Kernel products,53051150
83,Agricultural exports,Coconut non-Kernel products,53051160
84,Agricultural exports,Coconut non-Kernel products,53051170
85,Agricultural exports,Coconut non-Kernel products,53051180
86,Agricultural exports,Coconut non-Kernel products,53051190
87,Agricultural exports,Coconut non-Kernel products,53051901
88,Agricultural exports,Coconut non-Kernel products,53051902
89,Agricultural exports,Coconut non-Kernel products,53051909
90,Agricultural exports,Coconut non-Kernel products,53051910
91,Agricultural exports,Coconut non-Kernel products,53051920
92,Agricultural exports,Coconut non-Kernel products,53051990
93,Agricultural exports,Minor agricultural exports,1205
94,Agricultural exports,Minor agricultural exports,060110
95,Agricultural exports,Minor agricultural exports,060210
96,Agricultural exports,Minor agricultural exports,060220
97,Agricultural exports,Minor agricultural exports,060230
98,Agricultural exports,Minor agricultural exports,060240
99,Agricultural exports,Minor agricultural exports,060311
100,Agricultural exports,Minor agricultural exports,060312
101,Agricultural exports,Minor agricultural exports,060313
102,Agricultural exports,Minor agricultural exports,060314
103,Agricultural exports,Minor agricultural exports,060315
104,Agricultural exports,Minor agricultural exports,060390
105,Agricultural exports,Minor agricultural exports,060410
106,Agricultural exports,Minor agricultural exports,060420
107,Agricultural exports,Minor agricultural exports,060490
108,Agricultural exports,Minor agricultural exports,060491
109,Agricultural exports,Minor agricultural exports,060499
110,Agricultural exports,Minor agricultural exports,080121
111,Agricultural exports,Minor agricultural exports,080122
112,Agricultural exports,Minor agricultural exports,080131
113,Agricultural exports,Minor agricultural exports,080132
114,Agricultural exports,Minor agricultural exports,080211
115,Agricultural exports,Minor agricultural exports,080212
116,Agricultural exports,Minor agricultural exports,080222
117,Agricultural exports,Minor agricultural exports,080232
118,Agricultural exports,Minor agricultural exports,080240
119,Agricultural exports,Minor agricultural exports,080241
120,Agricultural exports,Minor agricultural exports,080242
121,Agricultural exports,Minor agricultural exports,080250
122,Agricultural exports,Minor agricultural exports,080251
123,Agricultural exports,Minor agricultural exports,080252
124,Agricultural exports,Minor agricultural exports,080260
125,Agricultural exports,Minor agricultural exports,080262
126,Agricultural exports,Minor agricultural exports,080270
127,Agricultural exports,Minor agricultural exports,080300
128,Agricultural exports,Minor agricultural exports,080410
129,Agricultural exports,Minor agricultural exports,080420
130,Agricultural exports,Minor agricultural exports,080430
131,Agricultural exports,Minor agricultural exports,080440
132,Agricultural exports,Minor agricultural exports,080510
133,Agricultural exports,Minor agricultural exports,080520
134,Agricultural exports,Minor agricultural exports,080530
135,Agricultural exports,Minor agricultural exports,080540
136,Agricultural exports,Minor agricultural exports,080550
137,Agricultural exports,Minor agricultural exports,080590
138,Agricultural exports,Minor agricultural exports,080610
139,Agricultural exports,Minor agricultural exports,080620
140,Agricultural exports,Minor agricultural exports,080711
141,Agricultural exports,Minor agricultural exports,080719
142,Agricultural exports,Minor agricultural exports,080720
143,Agricultural exports,Minor agricultural exports,080810
144,Agricultural exports,Minor agricultural exports,080820
145,Agricultural exports,Minor agricultural exports,080830
146,Agricultural exports,Minor agricultural exports,080840
147,Agricultural exports,Minor agricultural exports,080890
148,Agricultural exports,Minor agricultural exports,080910
149,Agricultural exports,Minor agricultural exports,080920
150,Agricultural exports,Minor agricultural exports,080921
151,Agricultural exports,Minor agricultural exports,080929
152,Agricultural exports,Minor agricultural exports,080930
153,Agricultural exports,Minor agricultural exports,080940
154,Agricultural exports,Minor agricultural exports,081010
155,Agricultural exports,Minor agricultural exports,081020
156,Agricultural exports,Minor agricultural exports,081030
157,Agricultural exports,Minor agricultural exports,081040
158,Agricultural exports,Minor agricultural exports,081050
159,Agricultural exports,Minor agricultural exports,081060
160,Agricultural exports,Minor agricultural exports,081090
161,Agricultural exports,Minor agricultural exports,081110
162,Agricultural exports,Minor agricultural exports,081111
163,Agricultural exports,Minor agricultural exports,081120
164,Agricultural exports,Minor agricultural exports,081190
165,Agricultural exports,Minor agricultural exports,081210
166,Agricultural exports,Minor agricultural exports,081290
167,Agricultural exports,Minor agricultural exports,081310
168,Agricultural exports,Minor agricultural exports,081320
169,Agricultural exports,Minor agricultural exports,081330
170,Agricultural exports,Minor agricultural exports,081350
171,Agricultural exports,Minor agricultural exports,081400
172,Agricultural exports,Minor agricultural exports,090121
173,Agricultural exports,Minor agricultural exports,090122
174,Agricultural exports,Minor agricultural exports,090150
175,Agricultural exports,Minor agricultural exports,090190
176,Agricultural exports,Minor agricultural exports,090300
177,Agricultural exports,Minor agricultural exports,100110
178,Agricultural exports,Minor agricultural exports,100111
179,Agricultural exports,Minor agricultural exports,100119
180,Agricultural exports,Minor agricultural exports,100200
181,Agricultural exports,Minor agricultural exports,100210
182,Agricultural exports,Minor agricultural exports,100290
183,Agricultural exports,Minor agricultural exports,100300
184,Agricultural exports,Minor agricultural exports,100310
185,Agricultural exports,Minor agricultural exports,100390
186,Agricultural exports,Minor agricultural exports,100400
187,Agricultural exports,Minor agricultural exports,100410
188,Agricultural exports,Minor agricultural exports,100490
189,Agricultural exports,Minor agricultural exports,100510
190,Agricultural exports,Minor agricultural exports,100590
191,Agricultural exports,Minor agricultural exports,100610
192,Agricultural exports,Minor agricultural exports,100620
193,Agricultural exports,Minor agricultural exports,100630
194,Agricultural exports,Minor agricultural exports,100640
195,Agricultural exports,Minor agricultural exports,100700
196,Agricultural exports,Minor agricultural exports,100790
197,Agricultural exports,Minor agricultural exports,100810
198,Agricultural exports,Minor agricultural exports,100830
199,Agricultural exports,Minor agricultural exports,100850
